event_id,citizen_id,city_zone,temperature_c,air_quality_index,energy_consumption_kwh,transport_mode,activity_type,noise_db,timestamp,renewable_energy_source,security_alert_flag,predicted_crowd_density
2924,48350,AeroTech District,27.56,160,1.374,E-Bike,Shopping,67.3,2032-08-03 16:49:09,Wind,0,0.96
2925,86746,Neon Habitat,26.04,106,2.984,MagRail,Delivery,62.5,2032-12-28 09:22:52,Solar,0,0.21
2926,32188,Solaris Sector,30.29,79,4.563,HoverCab,Work,82.1,2032-05-14 06:11:07,Wind,0,0.74
2927,36675,Quantum Bay,28.7,81,0.494,HyperLoop,Health,59.5,2032-01-21 14:41:28,Solar,0,0.34
2928,59256,Hydra Loop,20.46,88,1.111,E-Bike,Work,61.1,2032-06-19 12:07:16,HydroGrid,0,0.88
2929,24867,AeroTech District,32.0,29,0.29,Walk,Leisure,63.9,2032-04-18 23:04:27,Wind,0,0.66
2930,14763,Quantum Bay,28.76,140,6.869,E-Bike,Delivery,54.8,2032-12-25 19:10:25,FusionCell,1,0.53
2931,92584,Hydra Loop,27.29,136,1.8,HoverCab,Leisure,74.9,2032-09-04 20:30:01,Wind,0,0.31
2932,37065,Neon Habitat,28.47,97,0.592,Walk,Health,87.8,2032-07-19 02:39:48,HydroGrid,0,0.65
2933,30579,Solaris Sector,28.16,38,3.222,HoverCab,Shopping,60.2,2032-12-22 23:27:11,Solar,0,0.64
2934,15315,Solaris Sector,24.59,47,0.155,MagRail,Commute,65.7,2032-10-25 11:16:59,Solar,0,0.3
2935,94072,Quantum Bay,18.36,114,5.996,Walk,Leisure,73.1,2032-07-13 00:25:32,HydroGrid,0,0.46
2936,88935,Hydra Loop,27.22,140,1.203,MagRail,Delivery,64.7,2032-02-04 18:34:28,Wind,0,0.88
2937,23549,AeroTech District,22.55,45,1.627,Walk,Work,72.7,2032-06-22 22:54:30,FusionCell,0,0.27
2938,75881,AeroTech District,28.79,74,0.603,Walk,Leisure,66.5,2032-10-19 17:39:14,Wind,0,0.83
2939,64926,AeroTech District,23.85,131,2.187,HyperLoop,Delivery,63.4,2032-05-21 21:19:51,Wind,0,0.92
2940,53979,Hydra Loop,32.17,54,2.81,Walk,Delivery,70.9,2032-03-30 00:11:49,Solar,0,0.5
2941,40722,Quantum Bay,28.13,122,1.441,Walk,Shopping,68.0,2032-11-08 02:10:46,Wind,1,0.97
2942,52414,AeroTech District,27.04,75,0.025,MagRail,Work,64.5,2032-09-07 03:13:57,Solar,0,0.37
2943,55132,Neon Habitat,25.51,126,0.187,E-Bike,Delivery,72.9,2032-09-10 05:21:53,FusionCell,0,0.77
2944,33743,Quantum Bay,28.15,60,2.484,E-Bike,Health,76.3,2032-10-28 07:19:54,Wind,0,0.7
2945,63765,Hydra Loop,35.78,38,0.374,Walk,Health,68.4,2032-10-01 08:35:56,FusionCell,0,0.96
2946,51394,Neon Habitat,31.74,89,3.146,HoverCab,Leisure,80.1,2032-04-05 12:58:46,Solar,0,0.37
2947,77153,Neon Habitat,30.21,60,0.2,HyperLoop,Health,79.2,2032-11-17 04:38:37,HydroGrid,0,0.74
2948,85234,Hydra Loop,21.37,170,1.434,Walk,Work,82.8,2032-06-12 20:18:44,Wind,0,0.8
2949,61044,Neon Habitat,33.42,54,0.275,HoverCab,Health,65.4,2032-08-14 13:29:52,FusionCell,0,0.43
2950,46048,AeroTech District,31.84,107,3.662,MagRail,Leisure,60.9,2032-07-24 07:52:44,Solar,0,0.47
2951,45003,Neon Habitat,24.34,48,6.32,E-Bike,Health,70.3,2032-05-07 08:23:11,FusionCell,0,0.51
2952,61849,Quantum Bay,29.44,172,3.444,MagRail,Delivery,54.1,2032-04-02 03:12:45,FusionCell,0,0.5
2953,27872,AeroTech District,28.39,82,2.94,HyperLoop,Shopping,63.9,2032-03-10 17:40:10,FusionCell,0,0.58
2954,89477,Neon Habitat,26.06,68,3.278,HoverCab,Shopping,64.9,2032-04-17 12:08:44,HydroGrid,0,0.97
2955,83408,Solaris Sector,36.25,85,0.449,HyperLoop,Leisure,71.3,2032-05-21 08:18:42,FusionCell,0,0.2
2956,91449,AeroTech District,27.99,117,0.642,HyperLoop,Health,75.0,2032-01-30 19:49:29,Solar,0,0.57
2957,39764,AeroTech District,30.76,23,0.56,E-Bike,Delivery,62.5,2032-11-24 03:59:04,HydroGrid,0,0.3
2958,93930,Neon Habitat,25.42,155,0.179,E-Bike,Health,76.3,2032-11-30 05:59:27,HydroGrid,0,0.85
2959,80904,Hydra Loop,24.8,149,0.08,MagRail,Health,60.4,2032-12-30 11:04:30,FusionCell,0,0.83
2960,33406,AeroTech District,29.23,44,1.385,Walk,Leisure,37.9,2032-09-13 11:38:05,HydroGrid,1,0.13
2961,94454,AeroTech District,25.89,174,2.479,HoverCab,Work,66.5,2032-04-09 00:29:15,Solar,0,0.56
2962,30994,Quantum Bay,27.66,92,1.866,HyperLoop,Leisure,71.1,2032-11-25 06:27:12,Wind,0,0.43
2963,59937,Hydra Loop,24.39,93,1.23,E-Bike,Leisure,76.0,2032-07-19 18:23:34,HydroGrid,0,0.98
2964,96320,Hydra Loop,27.23,152,3.805,HyperLoop,Delivery,39.5,2032-07-01 21:47:33,HydroGrid,0,0.38
2965,15233,AeroTech District,30.04,112,0.3,HyperLoop,Work,65.3,2032-12-07 12:24:36,Wind,0,0.42
2966,46549,Hydra Loop,30.06,39,3.075,Walk,Delivery,58.7,2032-11-07 16:39:33,Wind,0,0.93
2967,98608,Solaris Sector,20.47,21,7.36,HoverCab,Delivery,67.6,2032-07-12 01:18:30,Wind,0,0.33
2968,75668,Neon Habitat,32.57,175,1.27,MagRail,Commute,67.1,2032-05-01 02:42:58,FusionCell,0,0.64
2969,19864,AeroTech District,35.56,44,3.818,HoverCab,Work,77.8,2032-08-09 00:44:30,FusionCell,0,0.58
2970,24018,AeroTech District,28.98,176,1.12,HyperLoop,Health,74.3,2032-11-06 09:16:59,HydroGrid,0,0.86
2971,56646,Solaris Sector,37.64,95,2.872,HoverCab,Commute,70.2,2032-03-18 05:07:48,Wind,0,0.57
2972,95301,AeroTech District,26.87,36,1.796,Walk,Health,52.5,2032-06-09 10:20:38,Solar,0,0.34
2973,20761,Neon Habitat,28.47,106,3.368,HoverCab,Work,69.9,2032-12-18 05:42:13,Solar,0,0.84
2974,31574,Quantum Bay,27.82,148,0.916,Walk,Delivery,60.4,2032-02-24 15:35:52,FusionCell,0,0.78
2975,28192,Hydra Loop,26.45,46,8.914,HoverCab,Health,84.1,2032-10-24 06:53:21,FusionCell,0,0.65
2976,17414,AeroTech District,29.39,102,1.061,MagRail,Leisure,77.2,2032-08-26 11:24:09,HydroGrid,0,0.62
2977,58663,Hydra Loop,36.22,96,0.997,HyperLoop,Leisure,66.1,2032-07-26 13:19:22,Wind,0,0.78
2978,65894,Hydra Loop,32.57,116,0.118,E-Bike,Work,63.1,2032-05-13 12:44:08,Wind,0,0.32
2979,64046,Hydra Loop,26.49,135,0.162,Walk,Work,49.5,2032-04-25 01:25:37,FusionCell,0,0.83
2980,39723,Solaris Sector,24.01,99,1.204,E-Bike,Commute,66.1,2032-01-02 06:59:10,Solar,0,0.74
2981,75491,Solaris Sector,22.28,63,2.662,Walk,Commute,60.8,2032-11-11 13:42:24,FusionCell,0,0.27
2982,22590,Quantum Bay,28.38,56,3.685,E-Bike,Shopping,85.0,2032-05-10 12:19:23,Wind,0,0.16
2983,98381,Solaris Sector,24.48,173,1.614,HyperLoop,Leisure,56.1,2032-08-01 14:45:27,HydroGrid,0,0.76
2984,98236,Neon Habitat,30.85,80,2.138,MagRail,Commute,61.2,2032-10-31 18:22:45,HydroGrid,1,0.97
2985,38885,Quantum Bay,34.28,95,0.383,HoverCab,Leisure,69.1,2032-01-20 19:24:01,FusionCell,0,0.98
2986,52854,AeroTech District,22.16,168,0.813,Walk,Delivery,57.4,2032-10-26 11:51:54,HydroGrid,0,0.98
2987,28462,Solaris Sector,32.94,79,3.08,E-Bike,Delivery,75.5,2032-05-31 10:25:12,Wind,0,0.67
2988,60080,Solaris Sector,28.5,178,0.505,HyperLoop,Leisure,62.3,2032-03-19 07:43:48,HydroGrid,0,0.23
2989,41247,Solaris Sector,20.17,132,0.9,HyperLoop,Shopping,59.5,2032-02-15 17:15:29,HydroGrid,0,0.3
2990,25411,Hydra Loop,22.05,149,0.042,MagRail,Work,73.9,2032-11-27 15:16:20,Solar,0,0.38
2991,68452,Solaris Sector,25.41,82,1.847,MagRail,Delivery,44.5,2032-08-13 09:11:55,Solar,0,0.37
2992,55682,Hydra Loop,30.89,154,0.855,MagRail,Health,70.6,2032-08-07 03:15:32,HydroGrid,0,0.31
2993,43790,Quantum Bay,25.27,142,0.379,HoverCab,Health,58.9,2032-11-13 18:21:00,FusionCell,0,0.16
2994,59363,AeroTech District,35.09,50,4.828,HyperLoop,Commute,59.8,2032-02-06 19:26:17,Solar,0,0.25
2995,18837,Solaris Sector,29.58,103,10.424,E-Bike,Delivery,50.9,2032-05-13 08:03:57,Solar,0,0.33
2996,23170,AeroTech District,32.75,109,0.452,E-Bike,Health,84.0,2032-09-24 12:02:58,Solar,0,0.5
2997,76030,Quantum Bay,29.77,73,5.034,HyperLoop,Work,74.2,2032-07-20 19:34:51,Wind,1,0.57
2998,10740,Solaris Sector,28.88,126,0.213,HoverCab,Health,66.9,2032-11-02 05:23:32,Solar,0,0.34
2999,35492,Hydra Loop,28.76,175,3.576,Walk,Health,67.9,2032-10-03 10:44:30,Wind,0,0.67
3000,30001,AeroTech District,30.25,165,1.991,HoverCab,Leisure,70.1,2032-12-12 03:19:29,Solar,0,0.38
3001,68534,Quantum Bay,32.44,68,0.585,HoverCab,Leisure,43.4,2032-01-23 05:11:45,Solar,0,0.36
3002,87544,Hydra Loop,28.21,96,7.661,HoverCab,Leisure,64.9,2032-04-10 08:25:00,HydroGrid,0,0.28
3003,14019,AeroTech District,30.44,40,2.388,E-Bike,Work,59.8,2032-11-22 02:23:12,Wind,0,0.29
3004,40173,Solaris Sector,25.57,30,3.737,E-Bike,Commute,60.0,2032-09-12 00:46:19,Wind,0,0.24
3005,32883,Solaris Sector,30.19,120,1.22,E-Bike,Shopping,74.9,2032-07-07 18:03:17,Solar,0,0.99
3006,39935,Hydra Loop,30.58,128,1.016,HoverCab,Work,58.5,2032-11-17 13:02:33,Wind,0,0.27
3007,49068,Neon Habitat,31.12,155,4.719,Walk,Delivery,72.6,2032-01-17 13:55:42,Wind,0,0.69
3008,85354,Quantum Bay,37.01,134,0.489,HyperLoop,Delivery,58.3,2032-09-01 18:53:58,Wind,0,0.14
3009,99419,Solaris Sector,30.76,59,2.142,E-Bike,Health,63.1,2032-08-28 09:12:02,HydroGrid,0,0.82
3010,11560,Solaris Sector,27.15,52,2.723,MagRail,Health,78.3,2032-01-17 10:27:21,Solar,0,1.0
3011,23433,Solaris Sector,26.12,160,2.508,HoverCab,Delivery,65.0,2032-09-08 02:09:54,Solar,0,0.98
3012,36436,Hydra Loop,23.44,80,5.091,MagRail,Health,75.0,2032-02-17 23:36:00,Solar,1,0.2
3013,84886,AeroTech District,27.02,79,3.73,MagRail,Work,69.1,2032-11-20 16:05:55,Solar,0,0.47
3014,11611,Solaris Sector,32.49,20,1.661,HyperLoop,Work,87.6,2032-10-16 02:06:06,Wind,0,0.11
3015,57494,Solaris Sector,28.9,179,0.381,MagRail,Shopping,68.3,2032-07-22 13:08:39,Solar,0,0.16
3016,16642,Quantum Bay,25.46,151,1.011,Walk,Delivery,83.1,2032-09-24 13:06:39,HydroGrid,0,0.54
3017,10268,Neon Habitat,33.29,137,0.698,Walk,Work,57.9,2032-07-31 06:41:35,HydroGrid,0,0.73
3018,23032,AeroTech District,33.29,121,0.148,HoverCab,Delivery,64.7,2032-06-11 23:43:53,HydroGrid,0,0.37
3019,18592,Solaris Sector,31.61,35,0.164,Walk,Leisure,65.1,2032-06-21 17:28:50,Solar,0,0.36
3020,17176,Quantum Bay,32.27,104,0.172,Walk,Health,75.8,2032-01-12 11:15:51,FusionCell,0,0.33
3021,59922,Quantum Bay,27.52,43,0.316,HyperLoop,Delivery,76.2,2032-09-04 11:46:52,Solar,0,0.63
3022,66144,Quantum Bay,29.24,70,0.68,Walk,Commute,70.7,2032-04-16 13:44:41,Solar,0,0.77
3023,49315,Quantum Bay,27.26,146,0.93,HoverCab,Shopping,78.9,2032-04-13 11:51:22,HydroGrid,0,0.98
3024,78430,AeroTech District,22.96,76,0.423,HoverCab,Work,65.2,2032-01-11 01:28:02,FusionCell,0,0.84
3025,14357,AeroTech District,29.95,42,4.926,MagRail,Leisure,73.2,2032-08-16 09:45:17,FusionCell,0,0.3
3026,19444,AeroTech District,33.78,141,5.247,HyperLoop,Work,58.9,2032-01-11 06:15:10,FusionCell,0,1.0
3027,62400,Hydra Loop,26.63,48,0.224,Walk,Work,63.9,2032-02-29 11:43:48,Wind,0,0.9
3028,29097,Solaris Sector,27.05,111,0.675,HoverCab,Health,71.0,2032-04-04 02:08:19,Wind,0,0.35
3029,80308,Quantum Bay,28.33,82,0.755,MagRail,Shopping,65.2,2032-07-25 23:01:14,FusionCell,0,0.31
3030,15805,AeroTech District,31.33,141,9.801,E-Bike,Health,70.0,2032-12-04 13:40:43,Wind,0,0.38
3031,79500,AeroTech District,29.34,71,1.077,MagRail,Delivery,52.1,2032-09-28 05:30:46,HydroGrid,0,0.71
3032,53423,Neon Habitat,19.03,151,1.376,E-Bike,Health,68.5,2032-05-17 11:13:58,HydroGrid,0,0.59
3033,78538,Neon Habitat,36.8,139,4.519,HoverCab,Shopping,55.4,2032-07-19 19:52:49,HydroGrid,0,0.53
3034,78588,Quantum Bay,29.68,67,2.573,MagRail,Shopping,79.7,2032-02-02 05:28:00,FusionCell,0,0.55
3035,22811,Hydra Loop,30.57,166,4.951,MagRail,Health,72.2,2032-06-24 21:47:55,Solar,0,0.48
3036,59043,Quantum Bay,29.49,41,1.888,HoverCab,Commute,76.6,2032-10-24 06:09:18,Solar,0,0.33
3037,35014,Solaris Sector,32.2,125,3.922,Walk,Health,73.8,2032-01-06 03:06:49,FusionCell,0,0.12
3038,97378,Solaris Sector,30.61,41,1.442,MagRail,Leisure,51.6,2032-01-27 13:51:10,FusionCell,1,0.45
3039,27518,Neon Habitat,23.11,76,2.494,Walk,Health,57.0,2032-12-22 11:07:22,FusionCell,0,0.64
3040,42861,Neon Habitat,28.8,172,0.094,HoverCab,Health,89.6,2032-02-11 02:57:28,HydroGrid,0,0.24
3041,50945,Neon Habitat,31.64,60,1.431,E-Bike,Commute,77.2,2032-08-15 01:51:17,HydroGrid,0,0.11
3042,26288,Neon Habitat,32.95,116,4.811,Walk,Leisure,73.5,2032-09-17 17:45:33,Wind,0,0.45
3043,25803,Solaris Sector,24.41,70,0.211,E-Bike,Work,51.6,2032-05-05 14:52:29,Wind,0,0.98
3044,51386,Solaris Sector,29.09,120,0.038,Walk,Delivery,52.6,2032-12-05 09:27:19,FusionCell,0,0.35
3045,20313,AeroTech District,33.98,132,1.546,HoverCab,Commute,65.8,2032-01-16 03:47:40,HydroGrid,0,0.96
3046,31991,Quantum Bay,34.22,102,1.007,HoverCab,Leisure,74.0,2032-06-23 00:53:57,Solar,0,0.92
3047,63048,Neon Habitat,28.68,79,1.083,E-Bike,Health,74.2,2032-10-06 05:14:13,Solar,0,0.71
3048,41534,Neon Habitat,30.84,115,0.72,HyperLoop,Delivery,78.5,2032-12-07 22:25:18,Solar,1,0.18
3049,86056,AeroTech District,34.85,138,0.108,MagRail,Leisure,53.4,2032-09-23 11:19:50,FusionCell,0,0.86
3050,71435,Solaris Sector,26.66,83,5.362,Walk,Leisure,65.5,2032-12-11 08:05:45,Wind,0,0.79
3051,40192,Hydra Loop,30.26,131,3.569,MagRail,Shopping,54.6,2032-08-03 20:54:20,FusionCell,0,0.3
3052,81557,AeroTech District,21.22,163,2.85,E-Bike,Shopping,68.1,2032-09-26 12:40:57,Wind,0,0.32
3053,66852,Solaris Sector,27.69,104,0.85,HyperLoop,Shopping,79.2,2032-02-18 00:42:14,FusionCell,0,0.99
3054,19146,Hydra Loop,32.37,85,0.756,E-Bike,Work,61.8,2032-08-16 08:47:54,Wind,0,0.33
3055,74312,Hydra Loop,23.61,21,2.621,MagRail,Leisure,76.7,2032-02-23 18:41:57,Wind,0,0.33
3056,47157,Solaris Sector,33.29,50,0.777,MagRail,Work,76.2,2032-05-09 18:43:47,HydroGrid,0,1.0
3057,45075,Neon Habitat,26.04,25,8.403,E-Bike,Commute,42.2,2032-06-28 06:53:13,Solar,0,0.83
3058,23882,Quantum Bay,22.38,153,0.919,E-Bike,Work,64.0,2032-09-10 17:17:59,Wind,0,0.36
3059,56590,Solaris Sector,26.11,51,0.436,HoverCab,Health,73.7,2032-10-04 17:23:25,FusionCell,0,0.91
3060,51946,AeroTech District,29.33,128,1.161,E-Bike,Health,70.9,2032-11-18 07:49:04,Solar,0,0.99
3061,92362,Neon Habitat,26.15,142,4.84,E-Bike,Leisure,73.4,2032-03-09 23:59:46,Wind,0,0.75
3062,26924,Hydra Loop,29.14,24,1.363,MagRail,Shopping,51.6,2032-04-22 05:58:26,FusionCell,0,0.54
3063,89818,Quantum Bay,25.68,102,1.384,MagRail,Shopping,66.3,2032-01-31 04:40:17,HydroGrid,0,0.49
3064,16974,Neon Habitat,32.2,98,3.406,Walk,Commute,80.3,2032-01-26 04:12:39,FusionCell,0,0.84
3065,91395,Neon Habitat,32.23,68,7.459,E-Bike,Leisure,78.9,2032-08-20 16:53:14,Wind,0,0.89
3066,55541,Neon Habitat,28.77,44,1.366,MagRail,Shopping,65.6,2032-11-20 11:07:51,FusionCell,0,0.26
3067,76373,Neon Habitat,27.18,34,6.819,HyperLoop,Commute,41.8,2032-10-19 17:50:16,HydroGrid,0,0.16
3068,50522,Quantum Bay,31.37,25,1.963,HoverCab,Commute,73.1,2032-06-24 04:39:20,Wind,0,0.82
3069,88371,Neon Habitat,29.56,176,3.505,E-Bike,Delivery,69.1,2032-12-23 09:13:05,Solar,0,0.69
3070,29445,Solaris Sector,31.0,112,0.864,Walk,Delivery,69.3,2032-03-08 22:17:03,Wind,0,0.28
3071,50684,Neon Habitat,38.76,124,1.215,Walk,Shopping,72.7,2032-03-07 18:26:22,Wind,0,0.41
3072,87813,AeroTech District,28.2,74,1.424,HyperLoop,Work,56.8,2032-05-26 16:38:21,Wind,0,0.94
3073,60164,Solaris Sector,24.85,29,1.365,Walk,Leisure,80.3,2032-12-10 10:48:49,Wind,0,0.16
3074,20691,Neon Habitat,36.09,107,2.335,HoverCab,Leisure,73.8,2032-08-10 23:17:24,HydroGrid,0,0.42
3075,75856,Quantum Bay,22.5,121,4.612,E-Bike,Work,72.4,2032-12-22 18:06:41,Solar,0,0.89
3076,99872,Neon Habitat,26.74,135,2.421,Walk,Commute,69.2,2032-12-16 19:20:42,Solar,0,0.97
3077,32264,Solaris Sector,25.79,102,1.334,E-Bike,Commute,61.1,2032-06-18 08:35:26,Solar,0,0.35
3078,57840,Hydra Loop,36.5,51,1.207,E-Bike,Leisure,56.5,2032-10-30 02:29:44,FusionCell,1,0.78
3079,86019,Neon Habitat,27.44,144,1.0,E-Bike,Leisure,77.9,2032-10-17 19:48:48,FusionCell,0,0.14
3080,44121,Solaris Sector,18.35,138,2.341,HoverCab,Leisure,87.8,2032-10-15 08:33:33,Solar,0,0.63
3081,68209,Quantum Bay,32.45,55,1.436,E-Bike,Leisure,66.9,2032-04-05 16:12:49,Solar,0,0.75
3082,94094,Solaris Sector,25.99,140,8.629,HyperLoop,Commute,68.9,2032-05-26 10:48:15,Wind,0,0.29
3083,54277,Neon Habitat,33.15,147,1.672,MagRail,Leisure,67.5,2032-02-10 21:43:01,Wind,0,0.4
3084,59205,Neon Habitat,32.24,174,0.205,HyperLoop,Delivery,70.9,2032-08-18 19:09:44,Wind,0,0.75
3085,96896,Quantum Bay,28.72,38,2.964,MagRail,Shopping,56.0,2032-01-31 06:43:35,Solar,0,0.23
3086,30871,Solaris Sector,28.99,173,0.485,MagRail,Delivery,62.8,2032-01-19 23:40:45,FusionCell,0,0.82
3087,67800,Solaris Sector,32.06,71,0.828,Walk,Shopping,60.8,2032-02-09 11:38:00,HydroGrid,0,0.41
3088,64256,Hydra Loop,37.1,150,2.408,Walk,Commute,78.4,2032-06-18 08:30:00,HydroGrid,0,0.44
3089,73718,Neon Habitat,30.08,33,0.23,E-Bike,Work,48.9,2032-11-23 17:53:31,Solar,0,0.19
3090,34740,AeroTech District,29.46,72,2.108,MagRail,Commute,53.7,2032-02-15 16:22:51,FusionCell,0,0.5
3091,74213,Quantum Bay,24.05,114,6.631,Walk,Delivery,78.4,2032-06-26 01:30:26,Solar,0,0.95
3092,55833,AeroTech District,33.73,158,2.072,MagRail,Health,74.2,2032-11-12 21:49:26,Solar,0,0.7
3093,11586,AeroTech District,26.84,74,1.563,Walk,Shopping,53.4,2032-10-22 11:49:50,Solar,0,0.33
3094,36436,AeroTech District,25.72,37,6.655,Walk,Health,56.6,2032-04-10 19:23:11,FusionCell,0,0.6
3095,27943,Solaris Sector,26.39,104,0.496,E-Bike,Health,74.8,2032-05-29 10:31:35,HydroGrid,0,0.71
3096,13931,Hydra Loop,26.81,116,1.727,Walk,Health,47.0,2032-11-03 07:21:24,Wind,0,0.47
3097,47887,Solaris Sector,32.09,21,0.467,MagRail,Work,75.3,2032-06-14 06:02:01,FusionCell,0,0.16
3098,53953,AeroTech District,30.64,99,0.507,HoverCab,Health,61.6,2032-03-12 22:10:36,FusionCell,0,0.77
3099,26037,Quantum Bay,29.1,42,4.662,MagRail,Commute,54.0,2032-07-18 07:46:10,HydroGrid,0,0.24
3100,94909,Neon Habitat,30.15,162,2.245,Walk,Health,61.2,2032-12-04 05:15:21,HydroGrid,0,0.64
3101,53913,Quantum Bay,30.05,160,0.514,Walk,Commute,57.8,2032-08-19 03:54:54,Solar,0,0.27
3102,62148,AeroTech District,32.03,66,0.144,E-Bike,Commute,63.4,2032-09-25 16:53:58,HydroGrid,0,0.33
3103,49878,Neon Habitat,28.34,63,4.708,HoverCab,Delivery,55.2,2032-03-31 19:31:27,Solar,0,0.51
3104,90193,Neon Habitat,33.13,95,2.236,MagRail,Leisure,57.8,2032-12-22 00:48:39,FusionCell,0,0.68
3105,73904,AeroTech District,25.77,107,8.638,HoverCab,Health,70.9,2032-12-10 22:03:14,Solar,0,0.51
3106,85412,AeroTech District,28.75,125,3.688,E-Bike,Health,57.7,2032-02-15 01:14:56,HydroGrid,0,0.3
3107,62685,Quantum Bay,25.89,81,0.734,Walk,Leisure,70.1,2032-05-18 01:33:55,HydroGrid,0,0.46
3108,80844,Quantum Bay,29.74,127,1.078,Walk,Health,68.7,2032-12-24 16:43:12,HydroGrid,0,0.37
3109,85040,Solaris Sector,31.42,179,0.536,HoverCab,Shopping,70.9,2032-07-02 05:01:16,FusionCell,0,0.68
3110,29944,Hydra Loop,24.54,72,1.636,HyperLoop,Shopping,60.5,2032-05-18 14:36:30,Solar,0,0.26
3111,40494,Neon Habitat,27.31,118,3.038,HyperLoop,Commute,62.4,2032-02-06 09:40:58,HydroGrid,0,0.34
3112,64662,Neon Habitat,22.27,135,3.077,E-Bike,Commute,70.1,2032-09-17 06:52:54,FusionCell,0,0.64
3113,40537,AeroTech District,26.6,79,0.111,Walk,Delivery,67.6,2032-04-14 15:28:01,HydroGrid,0,0.33
3114,99082,AeroTech District,31.33,108,1.521,HyperLoop,Commute,58.8,2032-05-22 05:12:15,HydroGrid,0,0.49
3115,79362,AeroTech District,28.14,44,1.266,MagRail,Commute,62.2,2032-03-13 09:24:33,HydroGrid,1,0.64
3116,42753,Neon Habitat,36.29,166,2.256,HyperLoop,Shopping,82.8,2032-03-17 16:19:48,Wind,0,0.66
3117,87456,Solaris Sector,30.26,44,1.717,MagRail,Commute,48.5,2032-01-16 06:59:15,HydroGrid,0,0.63
3118,31127,Hydra Loop,23.56,137,6.888,Walk,Work,58.2,2032-07-29 03:59:41,FusionCell,0,0.62
3119,88710,AeroTech District,31.79,73,1.368,HoverCab,Leisure,73.8,2032-03-12 01:37:46,HydroGrid,0,0.16
3120,84159,Hydra Loop,25.83,33,1.477,E-Bike,Commute,74.2,2032-07-10 20:53:39,Wind,0,0.51
3121,56495,Neon Habitat,28.28,61,0.604,E-Bike,Commute,63.4,2032-11-24 04:47:39,Solar,0,0.6
3122,22468,Solaris Sector,28.24,164,1.268,HoverCab,Work,76.5,2032-05-19 03:37:35,Solar,0,0.28
3123,15601,AeroTech District,30.95,87,3.735,MagRail,Commute,66.4,2032-12-25 18:19:37,Wind,0,0.37
3124,59182,Neon Habitat,31.97,171,3.198,MagRail,Delivery,65.4,2032-02-13 09:01:25,HydroGrid,0,0.28
3125,41741,Quantum Bay,33.99,125,0.426,E-Bike,Leisure,61.5,2032-12-23 04:27:31,Wind,0,0.42
3126,22529,Solaris Sector,25.41,126,1.484,HyperLoop,Work,67.1,2032-05-19 14:52:19,Solar,0,0.63
3127,69606,Neon Habitat,25.33,26,1.693,Walk,Leisure,62.0,2032-06-19 22:25:55,FusionCell,0,0.89
3128,40689,Neon Habitat,34.43,78,0.342,E-Bike,Shopping,90.5,2032-11-09 02:09:48,HydroGrid,0,0.47
3129,83416,Quantum Bay,31.58,24,6.234,MagRail,Leisure,56.1,2032-04-24 16:12:08,Solar,0,0.29
3130,19450,Neon Habitat,31.05,104,0.293,MagRail,Delivery,72.7,2032-05-28 11:33:21,FusionCell,0,0.8
3131,44194,Neon Habitat,32.84,65,2.2,MagRail,Leisure,54.9,2032-04-17 11:11:03,HydroGrid,0,0.25
3132,17135,AeroTech District,31.53,123,1.699,HoverCab,Leisure,58.3,2032-02-17 21:23:01,Wind,0,0.29
3133,40225,Hydra Loop,31.07,141,0.158,HoverCab,Commute,69.1,2032-12-19 20:56:02,Solar,0,0.44
3134,36324,Quantum Bay,28.34,144,6.151,MagRail,Delivery,62.4,2032-04-14 15:55:39,Solar,0,0.1
3135,73900,Solaris Sector,34.53,79,0.971,HyperLoop,Delivery,58.9,2032-03-14 07:05:13,Solar,0,0.64
3136,25343,Solaris Sector,31.97,54,6.368,MagRail,Work,74.6,2032-11-22 12:43:26,Solar,0,0.25
3137,62675,Quantum Bay,28.29,58,1.23,HyperLoop,Health,59.7,2032-08-19 00:16:43,FusionCell,0,0.15
3138,32424,Hydra Loop,29.4,178,1.122,MagRail,Leisure,57.4,2032-04-12 05:59:19,Wind,0,0.27
3139,95575,Quantum Bay,24.09,171,1.66,MagRail,Health,67.0,2032-04-23 01:32:50,Solar,0,0.4
3140,54439,Solaris Sector,32.17,69,5.053,E-Bike,Commute,70.1,2032-01-09 22:14:24,Wind,0,0.84
3141,16047,Solaris Sector,33.15,39,1.898,E-Bike,Leisure,74.0,2032-06-24 19:18:22,FusionCell,0,0.88
3142,51056,Hydra Loop,28.81,66,4.882,E-Bike,Health,60.3,2032-03-26 10:43:18,FusionCell,0,0.41
3143,93264,AeroTech District,34.32,39,0.25,MagRail,Work,75.6,2032-07-24 03:18:29,FusionCell,0,0.63
3144,84623,Solaris Sector,32.98,81,0.293,HoverCab,Health,74.8,2032-04-09 14:56:45,FusionCell,0,0.96
3145,98468,AeroTech District,26.76,165,1.142,HoverCab,Commute,45.4,2032-03-04 13:41:51,HydroGrid,0,0.72
3146,35030,Neon Habitat,24.04,48,0.348,E-Bike,Work,67.0,2032-03-20 11:32:04,FusionCell,0,0.29
3147,32051,Neon Habitat,32.99,57,2.272,MagRail,Shopping,68.6,2032-01-03 12:04:33,Solar,0,0.58
3148,62507,Hydra Loop,25.54,20,0.06,HyperLoop,Delivery,59.2,2032-03-14 09:36:26,HydroGrid,0,0.73
